total_sold,venueid,catid,holiday,day_of_week
39,207,7,0,0
44,98,9,0,2
18,212,7,0,2
29,230,7,0,1
2,15,9,0,6
24,303,8,0,3
54,114,9,0,2
18,5,9,0,2
58,11,9,0,2
41,261,6,0,5
19,111,9,0,5
53,204,7,0,2
84,209,7,0,3
34,82,9,0,6
45,37,9,0,6
51,204,7,0,4
73,236,7,0,4
67,200,6,0,2
31,224,7,0,6
58,52,9,0,1
51,97,9,0,6
20,222,7,0,4
25,51,9,0,2
35,97,9,0,5
3,9,9,0,0
39,248,7,0,5
37,306,8,0,5
27,23,9,0,2
42,226,7,0,1
34,247,7,0,4
48,214,7,0,5
47,247,6,0,0
28,102,9,0,5
52,98,9,0,0
22,56,9,0,0
36,252,6,0,4
74,241,6,0,5
50,120,9,0,1
22,23,9,0,4
48,38,9,0,4
28,218,6,0,6
21,1,9,0,2
34,244,7,0,4
48,245,6,0,3
42,211,6,0,4
42,15,9,0,1
8,221,7,0,3
26,37,9,0,2
40,300,8,0,5
36,242,7,0,2
11,220,7,0,6
52,206,7,0,0
39,206,7,0,6
45,14,9,0,6
47,95,9,0,0
42,255,6,0,4
17,215,7,0,1
47,255,6,0,6
16,254,6,0,3
57,88,9,0,1
66,87,9,0,0
16,90,9,0,1
83,236,6,0,4
52,224,7,0,4
7,119,9,0,4
43,19,9,0,4
35,228,6,0,4
43,121,9,0,3
29,220,6,0,2
31,9,9,0,2
15,27,9,0,3
33,60,9,0,3
108,120,9,0,1
23,53,9,0,1
40,244,6,0,4
46,239,6,0,6
28,215,6,0,4
36,233,6,0,3
14,305,8,0,2
52,300,8,0,3
80,42,9,0,2
19,245,7,0,6
34,222,6,0,0
55,104,9,0,0
40,204,7,0,3
38,243,7,0,1
24,240,6,0,2
15,40,9,0,2
63,98,9,0,5
54,217,7,0,6
57,62,9,0,2
25,124,9,0,5
31,115,9,0,1
41,55,9,0,0
61,117,9,0,4
56,228,7,0,1
54,249,7,0,6
30,48,9,0,0
46,19,9,0,0
68,22,9,0,1
64,206,7,0,4
49,93,9,0,0
56,305,8,0,2
58,15,9,0,2
54,213,7,0,2
43,14,9,0,0
29,212,7,0,1
47,224,7,0,2
26,242,6,0,3
63,216,7,0,6
64,89,9,0,3
41,206,7,0,6
31,74,9,0,4
25,51,9,0,0
17,303,8,0,2
21,236,6,0,4
50,304,8,0,4
60,228,7,0,5
23,218,7,0,4
59,108,9,0,5
61,49,9,0,2
23,246,7,0,4
2,236,7,0,0
46,95,9,0,5
45,69,9,0,6
45,99,9,0,2
15,43,9,0,1
7,211,7,0,3
21,217,7,0,2
54,207,7,0,6
4,205,7,0,1
43,67,9,0,1
36,4,9,0,5
48,242,7,0,3
38,101,9,0,6
34,88,9,0,2
27,241,7,0,1
42,243,6,0,2
55,62,9,0,5
66,52,9,0,3
90,217,6,0,5
21,227,6,0,6
63,34,9,0,2
45,221,6,0,6
53,129,9,0,2
45,26,9,0,5
35,72,9,0,2
25,75,9,0,0
49,46,9,0,1
65,33,9,0,5
59,5,9,0,6
19,113,9,0,5
4,248,7,0,6
44,201,7,0,3
35,53,9,0,5
61,202,7,0,6
48,83,9,0,0
58,16,9,0,2
35,100,9,0,4
42,47,9,0,1
33,18,9,0,6
49,106,9,0,4
45,15,9,0,6
44,205,6,0,6
64,242,7,0,2
1,242,7,0,3
36,66,9,0,3
86,221,7,0,3
39,231,7,0,1
51,208,6,0,2
32,80,9,0,1
40,54,9,0,1
45,306,8,0,5
53,126,9,0,2
55,104,9,0,5
33,9,9,0,5
82,28,9,0,3
72,84,9,0,1
42,24,9,0,6
18,39,9,0,5
33,114,9,0,2
51,62,9,0,5
59,41,9,0,6
50,51,9,0,2
5,94,9,0,4
27,242,7,0,6
49,235,6,0,4
45,87,9,0,2
12,73,9,0,6
46,44,9,0,0
57,32,9,0,6
17,60,9,0,2
50,246,7,0,5
58,229,7,0,5
74,210,6,0,5
58,118,9,0,3
44,108,9,0,1
60,65,9,0,2
83,229,7,0,4
34,50,9,0,1
52,70,9,0,1
43,203,6,0,6
35,60,9,0,1
4,248,7,0,1
30,66,9,0,1
29,4,9,0,0
4,219,7,0,4
67,15,9,0,1
64,235,7,0,2
52,12,9,0,4
57,42,9,0,2
14,220,6,0,2
43,218,6,0,0
36,211,7,0,3
43,20,9,0,0
8,106,9,0,6
33,228,7,0,5
46,66,9,0,6
51,12,9,0,2
24,31,9,0,3
33,229,7,0,5
26,117,9,0,1
52,119,9,0,5
50,78,9,0,6
65,50,9,0,3
31,116,9,0,4
25,130,9,0,5
29,48,9,0,6
37,221,7,0,4
37,100,9,0,6
14,7,9,0,3
56,201,6,0,5
51,219,7,0,0
62,214,7,0,3
24,52,9,0,1
44,90,9,0,5
33,220,7,0,3
54,117,9,0,3
37,1,9,0,5
69,8,9,0,1
40,110,9,0,0
12,221,7,0,3
52,217,7,0,3
32,115,9,0,2
