total_sold,total_paid,venueid,catid,caldate,holiday
33,6712.0,19,9,2008-02-18,False
8,3224.0,250,6,2008-01-22,False
36,8228.0,99,9,2008-02-08,False
2,58.0,257,6,2008-01-05,False
23,12090.0,54,9,2008-02-06,False
14,3898.0,247,7,2008-02-02,False
17,1711.0,238,6,2008-01-30,False
44,19620.0,74,9,2008-02-12,False
1,104.0,262,6,2008-01-04,False
16,3271.0,33,9,2008-02-10,False
78,20530.0,8,9,2008-02-21,False
50,25991.0,91,9,2008-02-26,False
11,2563.0,212,7,2008-02-02,False
51,11323.0,217,7,2008-03-03,False
1,115.0,28,9,2008-01-14,False
8,1000.0,241,7,2008-01-14,False
12,2037.0,5,9,2008-01-25,False
1,246.0,46,9,2008-01-09,False
24,4167.0,232,7,2008-02-07,False
30,7663.0,221,7,2008-02-26,False
34,13207.0,217,7,2008-02-19,False
44,26099.0,227,7,2008-02-12,False
44,9625.0,64,9,2008-02-15,False
18,5499.0,128,9,2008-02-04,False
8,1125.0,227,7,2008-02-13,False
34,8132.0,90,9,2008-02-17,False
6,777.0,229,7,2008-01-28,False
2,642.0,128,9,2008-01-09,False
4,1284.0,209,7,2008-01-12,False
37,7790.0,25,9,2008-02-04,False
89,32513.0,235,7,2008-02-27,False
4,668.0,219,7,2008-01-04,False
27,16456.0,17,9,2008-02-21,False
21,5826.0,41,9,2008-01-26,False
59,24213.0,232,7,2008-02-25,False
18,4229.0,249,7,2008-02-05,False
51,17550.0,214,7,2008-02-17,False
4,1288.0,205,7,2008-01-08,False
4,1716.0,248,7,2008-01-08,False
4,9460.0,253,6,2008-01-05,False
17,3001.0,236,7,2008-02-04,False
1,1193.0,60,9,2008-01-10,False
7,5313.0,211,7,2008-01-31,False
6,1650.0,10,9,2008-01-22,False
1,92.0,60,9,2008-01-07,False
68,16291.0,87,9,2008-02-21,False
25,8601.0,302,8,2008-02-11,False
12,4831.0,80,9,2008-01-17,False
9,1272.0,83,9,2008-01-29,False
24,14074.0,116,9,2008-02-03,False
2,500.0,203,7,2008-01-07,False
17,5304.0,8,9,2008-02-03,False
42,17117.0,99,9,2008-03-03,False
11,3223.0,44,9,2008-01-25,False
4,573.0,122,9,2008-02-08,False
55,13968.0,28,9,2008-02-24,False
45,11722.0,227,7,2008-02-25,False
67,20055.0,231,7,2008-03-02,False
45,20064.0,124,9,2008-02-21,False
61,15510.0,56,9,2008-02-23,False
114,29365.0,210,7,2008-03-01,False
5,1172.0,244,6,2008-01-28,False
40,7858.0,236,6,2008-02-16,False
4,284.0,101,9,2008-01-09,False
27,9057.0,98,9,2008-03-02,False
23,10751.0,101,9,2008-02-11,False
18,9303.0,1,9,2008-02-12,False
13,3928.0,216,7,2008-01-16,False
7,5717.0,204,6,2008-01-18,False
10,2702.0,43,9,2008-01-16,False
42,8055.0,107,9,2008-02-17,False
42,16230.0,39,9,2008-02-24,False
10,4648.0,123,9,2008-01-08,False
17,18963.0,13,9,2008-01-20,False
11,3265.0,221,7,2008-01-28,False
12,2559.0,89,9,2008-02-17,False
39,7441.0,2,9,2008-02-26,False
26,5996.0,103,9,2008-02-15,False
45,14133.0,37,9,2008-03-02,False
56,12502.0,217,7,2008-03-02,False
12,2370.0,69,9,2008-01-29,False
52,11707.0,41,9,2008-02-28,False
12,4552.0,306,8,2008-01-27,False
33,9563.0,116,9,2008-02-22,False
33,7103.0,257,6,2008-02-09,False
5,4601.0,214,6,2008-01-22,False
12,4136.0,302,8,2008-02-04,False
6,1148.0,245,7,2008-01-22,False
32,8792.0,229,7,2008-02-16,False
54,18283.0,24,9,2008-03-03,False
34,17089.0,118,9,2008-02-22,False
11,1732.0,109,9,2008-01-28,False
41,11763.0,127,9,2008-02-11,False
1,470.0,229,7,2008-01-07,False
34,11561.0,214,7,2008-02-23,False
15,4265.0,29,9,2008-01-30,False
33,10110.0,96,9,2008-02-10,False
6,4509.0,47,9,2008-01-13,False
41,13033.0,243,6,2008-03-03,False
47,11246.0,234,7,2008-03-02,False
87,28281.0,5,9,2008-03-04,False
23,5034.0,126,9,2008-02-14,False
14,2879.0,47,9,2008-02-02,False
8,2754.0,110,9,2008-01-19,False
12,1886.0,81,9,2008-02-09,False
36,20644.0,55,9,2008-02-16,False
42,13635.0,124,9,2008-02-15,False
9,1466.0,41,9,2008-02-02,False
55,22385.0,214,6,2008-03-01,False
14,3190.0,221,6,2008-01-30,False
12,4408.0,65,9,2008-02-03,False
18,6390.0,106,9,2008-01-24,False
48,11457.0,245,7,2008-02-14,False
47,29126.0,206,7,2008-02-24,False
6,1454.0,87,9,2008-01-20,False
2,623.0,28,9,2008-01-10,False
16,4578.0,237,7,2008-01-24,False
24,4280.0,71,9,2008-02-02,False
37,8507.0,21,9,2008-02-08,False
6,699.0,118,9,2008-02-01,False
10,4038.0,224,7,2008-02-02,False
8,1108.0,121,9,2008-01-13,False
26,7339.0,242,6,2008-02-14,False
42,13406.0,209,7,2008-02-20,False
28,13626.0,302,8,2008-02-12,False
34,6224.0,86,9,2008-02-16,False
54,15730.0,246,7,2008-02-24,False
1,1348.0,307,8,2008-01-11,False
1,1261.0,85,9,2008-01-12,False
2,266.0,248,7,2008-01-11,False
7,1483.0,41,9,2008-01-16,False
9,1310.0,208,7,2008-02-06,False
56,15842.0,305,8,2008-03-03,False
34,8067.0,209,7,2008-01-30,False
10,1886.0,129,9,2008-01-22,False
55,12507.0,200,7,2008-03-05,False
36,16048.0,80,9,2008-02-20,False
6,916.0,241,6,2008-01-11,False
10,3070.0,17,9,2008-01-26,False
6,1428.0,65,9,2008-01-14,False
6,3064.0,209,7,2008-01-21,False
3,572.0,120,9,2008-01-24,False
25,3603.0,243,7,2008-01-30,False
50,21884.0,90,9,2008-02-18,False
2,650.0,127,9,2008-01-11,False
62,18170.0,235,7,2008-02-13,False
1,103.0,263,6,2008-01-14,False
7,1593.0,245,7,2008-01-11,False
20,11634.0,75,9,2008-02-12,False
24,7405.0,303,8,2008-02-04,False
84,36107.0,209,7,2008-02-28,False
23,7763.0,243,7,2008-02-20,False
45,20445.0,305,8,2008-03-02,False
47,27168.0,216,7,2008-02-22,False
10,2992.0,222,7,2008-01-31,False
48,14471.0,16,9,2008-02-01,False
2,848.0,236,7,2008-01-14,False
49,11664.0,71,9,2008-02-27,False
47,12603.0,303,8,2008-02-25,False
90,24636.0,225,6,2008-02-26,False
7,9993.0,117,9,2008-01-25,False
2,2438.0,116,9,2008-01-12,False
2,40.0,33,9,2008-01-11,False
4,488.0,117,9,2008-01-12,False
2,208.0,22,9,2008-01-18,False
23,4541.0,218,7,2008-02-01,False
29,7028.0,51,9,2008-02-16,False
2,639.0,117,9,2008-01-13,False
26,5334.0,249,6,2008-01-25,False
39,8299.0,70,9,2008-02-16,False
34,6305.0,223,7,2008-03-07,False
59,18177.0,232,7,2008-02-23,False
7,3634.0,9,9,2008-01-25,False
3,378.0,126,9,2008-01-20,False
42,7558.0,206,6,2008-02-23,False
20,3453.0,106,9,2008-02-09,False
39,10400.0,303,8,2008-03-01,False
27,11200.0,97,9,2008-02-25,False
6,6760.0,125,9,2008-01-10,False
3,1068.0,113,9,2008-01-18,False
44,7237.0,119,9,2008-02-21,False
7,6792.0,254,6,2008-01-15,False
37,11467.0,55,9,2008-02-28,False
8,13921.0,104,9,2008-01-17,False
44,11536.0,85,9,2008-03-05,False
2,234.0,235,7,2008-01-05,False
17,5271.0,64,9,2008-02-16,False
45,29057.0,66,9,2008-02-06,False
15,4437.0,27,9,2008-01-31,False
6,630.0,211,7,2008-01-08,False
30,12966.0,1,9,2008-02-09,False
13,5310.0,25,9,2008-01-12,False
72,15855.0,253,6,2008-02-22,False
15,3800.0,35,9,2008-02-01,False
16,3608.0,260,6,2008-01-26,False
20,8494.0,220,6,2008-02-01,False
34,8704.0,206,6,2008-02-21,False
39,11459.0,232,7,2008-02-21,False
1,305.0,213,6,2008-01-09,False
111,27400.0,302,8,2008-02-15,False
16,2559.0,22,9,2008-02-02,False
44,14127.0,63,9,2008-02-13,False
4,1340.0,27,9,2008-01-21,False
20,6739.0,111,9,2008-02-14,False
19,6612.0,95,9,2008-02-03,False
52,10270.0,20,9,2008-02-24,False
2,832.0,205,7,2008-01-03,False
37,9369.0,207,7,2008-03-02,False
38,6813.0,240,6,2008-02-23,False
3,225.0,116,9,2008-01-10,False
70,24851.0,219,7,2008-02-19,False
10,1848.0,33,9,2008-01-16,False
23,5734.0,69,9,2008-02-09,False
62,20995.0,19,9,2008-02-19,False
19,3774.0,65,9,2008-02-05,False
1,74.0,231,6,2008-01-11,False
32,10028.0,210,7,2008-02-15,False
13,3099.0,42,9,2008-01-26,False
25,7721.0,214,7,2008-02-10,False
29,11180.0,128,9,2008-02-23,False
15,5966.0,216,7,2008-02-11,False
8,4377.0,215,6,2008-01-20,False
2,500.0,217,7,2008-01-09,False
73,18126.0,208,7,2008-03-04,False
19,7413.0,206,7,2008-01-27,False
35,7817.0,32,9,2008-02-16,False
18,6069.0,114,9,2008-02-17,False
21,5789.0,40,9,2008-02-01,False
38,5873.0,62,9,2008-02-12,False
1,233.0,26,9,2008-01-05,False
29,20676.0,84,9,2008-02-16,False
68,18798.0,225,7,2008-02-05,False
38,7157.0,21,9,2008-02-19,False
56,24947.0,37,9,2008-02-16,False
78,28784.0,214,6,2008-02-24,False
4,568.0,29,9,2008-01-09,False
5,551.0,222,7,2008-01-18,False
35,9375.0,48,9,2008-02-23,False
19,2898.0,36,9,2008-02-07,False
4,729.0,53,9,2008-01-08,False
23,8541.0,58,9,2008-02-22,False
19,3150.0,221,7,2008-02-10,False
37,5798.0,121,9,2008-02-11,False
21,5589.0,218,7,2008-02-19,False
54,22409.0,99,9,2008-02-19,False
9,1964.0,220,7,2008-01-29,False
1,248.0,42,9,2008-01-17,False
42,9133.0,128,9,2008-02-21,False
3,594.0,217,6,2008-01-11,False
19,3844.0,238,7,2008-02-09,False
64,23952.0,65,9,2008-02-26,False
40,14031.0,216,7,2008-02-28,False
